match_id,league_id,home_team_id,away_team_id,match_date,home_goals,away_goals,status,home_avg_gf_5,home_avg_ga_5,home_pts_5,home_winrate_5,home_drawrate_5,away_avg_gf_5,away_avg_ga_5,away_pts_5,away_winrate_5,away_drawrate_5,home_win,diff_pts_5,diff_avg_gf_5,diff_avg_ga_5,diff_winrate_5,diff_drawrate_5
18568,27,878,884,2023-11-05 11:30:00,1,3,finished,0.6,1.2,8.0,0.2,0.2,0.9,0.9,13.0,0.3,0.4,0,-5.0,-0.30000000000000004,0.29999999999999993,-0.09999999999999998,-0.2
17438,26,868,851,2023-11-05 13:00:00,1,0,finished,0.9,1.5,9.0,0.2,0.3,1.4,2.9,3.0,0.0,0.3,1,6.0,-0.4999999999999999,-1.4,0.2,0.0
21541,30,955,962,2023-11-05 13:30:00,2,0,finished,1.2,1.7,11.0,0.3,0.2,0.8,1.7,10.0,0.2,0.4,1,1.0,0.3999999999999999,0.0,0.09999999999999998,-0.2
20620,29,936,934,2023-11-05 14:00:00,1,2,finished,1.1,1.3,11.0,0.2,0.5,1.0,1.2,11.0,0.2,0.5,0,0.0,0.10000000000000009,0.10000000000000009,0.0,0.0
16291,25,829,839,2023-11-05 14:00:00,2,0,finished,1.0,1.5,10.0,0.2,0.4,2.6,1.4,22.0,0.7,0.1,1,-12.0,-1.6,0.10000000000000009,-0.49999999999999994,0.30000000000000004
20618,29,935,928,2023-11-05 14:00:00,0,1,finished,1.6,1.9,14.0,0.4,0.2,1.6,1.2,17.0,0.5,0.2,0,-3.0,0.0,0.7,-0.09999999999999998,0.0
18569,27,894,881,2023-11-05 14:00:00,2,1,finished,0.9,2.1,6.0,0.1,0.3,1.1,1.4,11.0,0.3,0.2,1,-5.0,-0.20000000000000007,0.7000000000000002,-0.19999999999999998,0.09999999999999998
17439,26,854,870,2023-11-05 15:15:00,1,0,finished,1.2,1.2,12.0,0.3,0.3,1.6,2.5,6.0,0.1,0.3,1,6.0,-0.40000000000000013,-1.3,0.19999999999999998,0.0
21544,30,956,963,2023-11-05 15:45:00,1,2,finished,1.2,1.3,15.0,0.4,0.3,0.8,1.9,9.0,0.2,0.3,0,6.0,0.3999999999999999,-0.5999999999999999,0.2,0.0
20621,29,938,931,2023-11-05 16:05:00,2,0,finished,2.3,1.4,20.0,0.6,0.2,1.1,1.1,15.0,0.4,0.3,1,5.0,1.1999999999999997,0.2999999999999998,0.19999999999999996,-0.09999999999999998
16292,25,835,843,2023-11-05 16:30:00,1,1,finished,0.9,2.0,5.0,0.1,0.2,2.3,0.9,23.0,0.7,0.2,0,-18.0,-1.4,1.1,-0.6,0.0
18570,27,887,891,2023-11-05 17:00:00,2,1,finished,2.0,1.3,14.0,0.4,0.2,1.0,1.2,13.0,0.3,0.4,1,1.0,1.0,0.10000000000000009,0.10000000000000003,-0.2
17440,26,863,859,2023-11-05 17:30:00,2,3,finished,1.4,1.6,12.0,0.3,0.3,1.8,1.0,18.0,0.5,0.3,0,-6.0,-0.40000000000000013,0.6000000000000001,-0.2,0.0
18571,27,882,890,2023-11-05 19:45:00,0,1,finished,1.8,1.4,17.0,0.5,0.2,1.6,0.6,23.0,0.7,0.2,0,-6.0,0.19999999999999996,0.7999999999999999,-0.19999999999999996,0.0
20622,29,925,939,2023-11-05 19:45:00,2,0,finished,1.1,0.4,22.0,0.6,0.4,1.6,1.3,12.0,0.2,0.6,1,10.0,-0.5,-0.9,0.39999999999999997,-0.19999999999999996
17441,26,860,852,2023-11-05 20:00:00,0,0,finished,2.1,0.8,25.0,0.8,0.1,1.2,1.5,14.0,0.3,0.5,0,11.0,0.9000000000000001,-0.7,0.5,-0.4
18572,27,879,877,2023-11-06 17:30:00,2,1,finished,1.5,1.7,12.0,0.3,0.3,0.3,1.9,7.0,0.2,0.1,1,5.0,1.2,-0.19999999999999996,0.09999999999999998,0.19999999999999998
18573,27,893,885,2023-11-06 19:45:00,2,1,finished,0.7,1.2,12.0,0.3,0.3,1.3,1.7,11.0,0.3,0.2,1,1.0,-0.6000000000000001,-0.5,0.0,0.09999999999999998
17442,26,865,867,2023-11-06 20:00:00,1,0,finished,1.3,1.6,11.0,0.2,0.5,0.9,1.6,7.0,0.1,0.4,1,4.0,0.4,0.0,0.1,0.09999999999999998
16293,25,841,842,2023-11-06 20:00:00,1,4,finished,2.2,0.9,26.0,0.8,0.2,1.3,1.1,12.0,0.3,0.3,0,14.0,0.9000000000000001,-0.20000000000000007,0.5,-0.09999999999999998
18574,27,885,888,2023-11-10 17:30:00,2,2,finished,1.4,1.7,11.0,0.3,0.2,0.4,2.0,3.0,0.0,0.3,0,8.0,0.9999999999999999,-0.30000000000000004,0.3,-0.09999999999999998
21545,30,962,954,2023-11-10 19:00:00,4,1,finished,0.8,1.9,9.0,0.2,0.3,1.3,2.4,12.0,0.3,0.3,1,-3.0,-0.5,-0.5,-0.09999999999999998,0.0
19694,28,911,904,2023-11-10 19:30:00,4,0,finished,1.9,2.3,10.0,0.2,0.4,1.5,1.6,13.0,0.4,0.1,1,-3.0,0.3999999999999999,0.6999999999999997,-0.2,0.30000000000000004
18575,27,881,878,2023-11-10 19:45:00,1,0,finished,1.1,1.2,11.0,0.3,0.2,0.6,1.5,5.0,0.1,0.2,1,6.0,0.5000000000000001,-0.30000000000000004,0.19999999999999998,0.0
17443,26,859,861,2023-11-10 20:00:00,4,3,finished,1.9,1.2,18.0,0.5,0.3,1.0,1.7,6.0,0.1,0.3,1,12.0,0.8999999999999999,-0.5,0.4,0.0
